TSC,CPU,DOM,vCPU,UOPS_RETIRED.ALL,UOPS_ISSUED.ANY,UOPS_ISSUED.ANY-stalls,RESOURCE_STALLS.ANY
23514451619302,1,32767,1,0,0,11241,0
23514553311938,1,4,0,57643950,48189884,84618596,2169367
23514637911050,1,4,0,43173721,34668894,71857607,1711908
23514638180458,1,4,1,37184,38418,130028,2297
23514638318058,1,32767,1,0,0,12128,0
23514638445882,1,4,1,395,396,10549,0
23514638574030,1,32767,1,0,0,10083,0
23514638668058,1,4,1,9390,10084,31263,430
23514638762314,1,4,1,18996,18599,28864,411
23514638835582,1,4,1,8504,7331,12514,283
23514639005574,1,32767,1,0,0,17716,0
23514639160842,1,4,1,10703,9933,27931,170
23514639606694,1,4,1,585533,527037,202995,59116
23514639894478,1,32767,1,0,0,18559,0
23514639987106,1,4,1,12510,11680,29624,8
23514640180978,1,32767,1,0,0,14044,0
23514640264742,1,4,1,12081,10775,21696,55
23514640415662,1,4,1,16435,14854,87255,3384
23514640555418,1,4,1,9809,8433,78240,512
23514640628798,1,4,1,7808,6655,13105,184
23514640829098,1,4,1,53339,49278,108057,4152
23514640945234,1,4,1,7744,6621,17246,93
23514645445554,1,32767,1,0,0,20215,0
23514645550750,1,4,1,16511,15735,40476,270
23514648917482,1,32767,1,0,0,16932,0
23514648996470,1,4,1,6316,5581,18818,17
23514652386662,1,32767,1,0,0,16080,0
23514652462786,1,4,1,5603,4822,16441,0
23514655854950,1,32767,1,0,0,15490,0
23514655947994,1,4,1,16797,15269,28516,146
23514659323382,1,32767,1,0,0,16611,0
23514659399978,1,4,1,5649,4761,16836,21
23514662860842,1,32767,1,0,0,15613,0
23514662950978,1,4,1,16947,15036,26005,122
23514666329566,1,32767,1,0,0,16331,0
23514666405638,1,4,1,5621,4742,16299,24
23514669798126,1,32767,1,0,0,16157,0
23514669873902,1,4,1,5612,4718,16195,11
23514673307306,1,32767,1,0,0,33338,0
23514673416438,1,4,1,16796,14560,43594,184
23514676801006,1,32767,1,0,0,34408,0
23514676900394,1,4,1,5605,6111,37073,123
23514680297990,1,32767,1,0,0,36432,0
23514680397486,1,4,1,5605,6053,37248,123
23514683795202,1,32767,1,0,0,35883,0
23514683925270,1,4,1,16742,16939,62809,235
23514687292126,1,32767,1,0,0,49120,0
23514687391642,1,4,1,5605,6067,37228,114
23514690789430,1,32767,1,0,0,35938,0
23514690888774,1,4,1,5603,6034,37072,126
23514637997034,2,32767,2,0,0,632801776,0
23514638093526,2,4,0,55,49,19839,0
23514638213138,2,4,0,53,47,12796,0
23514638336538,2,4,0,53,47,7324,0
23514638464466,2,4,0,53,48,12320,0
23514638592214,2,4,0,53,47,8330,0
23514639240994,2,4,0,371379,356714,461781,19867
23514639676218,2,32767,2,0,0,45453,0
23514639880562,2,4,0,28107,27886,89783,3206
23514640073682,2,32767,2,0,0,41560,0
23514640346186,2,4,0,131978,120037,167661,6056
23514640487694,2,4,0,21940,20051,75196,3046
23514640701254,2,4,0,28820,26094,144953,3719
23514644096706,2,4,0,3528834,3345403,2207110,101743
23514692043172,0,0,0,86358,82447,243927,11243
23514709194160,0,32767,0,0,0,443206,0
23514709487604,0,0,0,50842,52445,153787,7134
23514713202954,0,32767,0,0,0,181558,0
23514714010782,0,0,0,241362,253202,572487,42177
23514714204870,0,0,0,78563,76635,103052,12761
23514714411606,0,0,0,35893,30768,50606,4480
23514714613790,0,0,0,78145,71240,83248,7529
23514714914066,0,0,0,35987,31081,171851,4592
23514716132830,0,32767,0,0,0,20195,0
23514716356762,0,0,0,45354,44134,97008,4503
23514747999510,0,32767,0,0,0,897350,0
23514748283814,0,0,0,60823,54804,153800,25169
23514799214840,0,32767,0,0,0,1405643,0
23514799493364,0,0,0,48135,50155,145605,5853
23514800466538,0,32767,0,0,0,180824,0
23514801245034,0,0,0,315589,317043,504166,25846
23514801864578,0,0,0,258669,239350,455172,21237
23514802188062,0,0,0,82163,75250,181898,7270
23514802633162,0,0,0,78050,68652,254779,5730
23514802839626,0,0,0,63075,54560,69000,4688
23514803024658,0,0,0,34194,29042,44773,3161
23514803532050,0,0,0,92121,83138,304351,7214
23514804038970,0,0,0,122388,110676,270848,9479
23514804261306,0,32767,0,0,0,27894,0
23514804439910,0,0,0,75428,67749,93217,5413
23514804742494,0,0,0,34245,29518,158493,3086
