TSC,CPU,DOM,vCPU,PKG,PP0,PP1,DRAM
23763536720210,2,5,0,2452099929,844149637,162994148,0
23763638497554,2,5,0,2452157880,844200622,162994721,0
23763740266254,2,5,0,2452215178,844251010,162995293,0
23763446679328,3,6,0,2452048410,844104339,162993634,0
23763548452160,3,6,0,2452105642,844154654,162994206,0
23763650225800,3,6,0,2452163664,844205716,162994778,0
23763751997948,3,6,0,2452220914,844256049,162995351,0
23763762690420,0,0,0,2452226612,844261057,162995408,0
23763851234812,0,32767,0,2452276411,844304866,162995905,0
23763851412780,0,0,0,2452276411,844304866,162995905,0
23763875250380,0,32767,0,2452289865,844316708,162996038,0
23763875541348,0,0,0,2452289865,844316708,162996038,0
23764102262240,0,32767,0,2452418729,844430083,162997312,0
23763842038922,2,5,0,2452272595,844301519,162995866,0
23763943816130,2,5,0,2452328536,844350709,162996419,0
23764045585362,2,5,0,2452386097,844401364,162996989,0
23763853771136,3,6,0,2452278358,844306586,162995924,0
23763955546996,3,6,0,2452336185,844357436,162996495,0
23764057317972,3,6,0,2452393773,844408118,162997065,0
23764102567156,0,0,0,2452418729,844430083,162997312,0
23764166997544,0,32767,0,2452455101,844462076,162997675,0
23764167795120,0,0,0,2452455101,844462076,162997675,0
23764173044382,0,32767,0,2452458965,844465481,162997713,0
23764173201862,0,0,0,2452458965,844465481,162997713,0
23764201229756,0,32767,0,2452474274,844478947,162997866,0
23764206356012,0,0,0,2452478847,844483046,162997904,0
23764213755456,0,32767,0,2452482872,844486604,162997942,0
23764213904652,0,0,0,2452482872,844486604,162997942,0
23764216421164,0,32767,0,2452484888,844488384,162997961,0
23764216685016,0,0,0,2452484888,844488384,162997961,0
23764227316638,0,32767,0,2452491348,844494136,162998018,0
23764227462902,0,0,0,2452491348,844494136,162998018,0
23764339540900,0,32767,0,2452554469,844549650,162998647,0
23764339887616,0,0,0,2452554469,844549650,162998647,0
23764442148628,0,32767,0,2452612146,844600413,162999218,0
23764147358246,2,5,0,2452443651,844452019,162997560,0
23764249131518,2,5,0,2452503017,844504415,162998133,0
23764350904378,2,5,0,2452560264,844554758,162998703,0
23764159090840,3,6,0,2452451213,844458655,162997637,0
23764260866448,3,6,0,2452510561,844511045,162998208,0
23764362637064,3,6,0,2452567901,844561473,162998779,0
23764442448592,0,0,0,2452612146,844600413,162999218,0
23764634410996,0,32767,0,2452720985,844696135,163000303,0
23764634565368,0,0,0,2452720985,844696135,163000303,0
23764647980256,0,32767,0,2452728766,844702993,163000380,0
23764648239008,0,0,0,2452728766,844702993,163000380,0
23764648581880,0,32767,0,2452728766,844702993,163000380,0
23764648702884,0,0,0,2452728766,844702993,163000380,0
23764661549922,0,32767,0,2452736614,844709920,163000456,0
23764661664550,0,0,0,2452736614,844709920,163000456,0
23764688686834,0,32767,0,2452752090,844723552,163000608,0
23764688803234,0,0,0,2452752090,844723552,163000608,0
23764782017784,0,32767,0,2452803764,844769010,163001122,0
23764452677422,2,5,0,2452617884,844605460,162999275,0
23764554450122,2,5,0,2452675118,844655790,162999846,0
23764656223254,2,5,0,2452732733,844706502,163000418,0
23764757996442,2,5,0,2452790428,844757293,163000988,0
23764464410168,3,6,0,2452625494,844612153,162999351,0
23764566182384,3,6,0,2452682725,844662479,162999922,0
23764667955228,3,6,0,2452738642,844711713,163000475,0
23764769728520,3,6,0,2452796101,844762273,163001045,0
23764782243112,0,0,0,2452803764,844769010,163001122,0
23764987218704,0,32767,0,2452918520,844869952,163002266,0
23764988070208,0,0,0,2452920447,844871656,163002285,0
23765029764988,0,32767,0,2452943429,844891793,163002593,0
23765030048236,0,0,0,2452943429,844891793,163002593,0
23765121814096,0,32767,0,2452995774,844937864,163003107,0
23764859769286,2,5,0,2452847959,844807910,163001561,0
